project,full_url,pr_number,commit_sha,author,language,system_loc,cloned_loc,clone_density
aspire,https://github.com/dotnet/aspire,7026,349a9b3e2912810f3f88e029642afff85e7f57a1,human,cs,104611,1296,1.24
aspire,https://github.com/dotnet/aspire,7129,971c53aa7a5efdd47b23a934f2fe61c53613aa5a,human,cs,103275,1350,1.31
aspire,https://github.com/dotnet/aspire,7141,b1299b1680e7202f3d963b6b71c641889bf43a3c,human,cs,102713,1350,1.31
aspire,https://github.com/dotnet/aspire,7142,7cb3fb7ad21390c5de30aa3cb2fde8e17aebd1b0,human,cs,102713,1350,1.31
aspire,https://github.com/dotnet/aspire,7224,5fa4b7446ec26c1224105154ecbbcf1d76cf2ed6,human,cs,102919,1350,1.31
aspire,https://github.com/dotnet/aspire,7261,4e55096393eef841d31121d9c3c1c275c9fe58b7,human,cs,103695,1350,1.3
aspire,https://github.com/dotnet/aspire,7286,15f9ee9ac02d1a4fed6cb75e59ddb3ee91c4ebe3,human,cs,104016,1349,1.3
aspire,https://github.com/dotnet/aspire,7313,1c4a6857099cbbdbd85cf2fe25b533cd65ce44c9,human,cs,104611,1296,1.24
aspire,https://github.com/dotnet/aspire,7332,0767aa11ae86126db7ed1a39820a5dd46b164ab3,human,cs,104760,1296,1.24
aspire,https://github.com/dotnet/aspire,7356,7c4df1f24b5c214849b1c36c4dae509ca506fa13,human,cs,105200,1384,1.32
aspire,https://github.com/dotnet/aspire,7389,79507d03e250d1749a9ffb60669cfd6c7f3bc56e,human,cs,110386,1384,1.25
aspire,https://github.com/dotnet/aspire,7390,a2a61b08d1e0419f5a4ebe3610c7dfaea38d5298,human,cs,110379,1384,1.25
aspire,https://github.com/dotnet/aspire,7397,39dcf6c719a5ce084be304a2ec5d6f4a6de0354c,human,cs,110722,1384,1.25
aspire,https://github.com/dotnet/aspire,7408,65565dda3fa10c05ca958a33045f77569a9d79ed,human,cs,110673,1384,1.25
aspire,https://github.com/dotnet/aspire,7463,f317cd08ac6c389724bc635ecae9a8f8619f6bd4,human,cs,111791,1288,1.15
aspire,https://github.com/dotnet/aspire,7468,9d8c5b7842c482beca2c181ef4ad1bdf660c62f6,human,cs,111831,1288,1.15
aspire,https://github.com/dotnet/aspire,7542,9d11a83467474211b5e36c5ea752d575ea57ac7b,human,cs,112569,1288,1.14
aspire,https://github.com/dotnet/aspire,7670,9ba673332146dbd6ee93c883fe009d4a68ead2a5,human,cs,112672,1288,1.14
aspire,https://github.com/dotnet/aspire,7675,22c562f47a9ce7ad8a58c1ea902bf0a2cc7acadb,human,cs,112668,1288,1.14
aspire,https://github.com/dotnet/aspire,7690,a5c3ee9d93dec1a714fd7f6d38c66f546281db73,human,cs,112678,1288,1.14
aspire,https://github.com/dotnet/aspire,7700,5bb3734d2eb04024f686a9b28c68b0757b251bda,human,cs,112936,1288,1.14
aspire,https://github.com/dotnet/aspire,7728,6266864c6dfd6bf229f924e7ea3bb0777ff397be,human,cs,112925,1288,1.14
aspire,https://github.com/dotnet/aspire,7733,652f774f5821f41f79efd3e50495d0881f17d5bb,human,cs,112915,1288,1.14
aspire,https://github.com/dotnet/aspire,7764,87d7f467587b03e6403babb9f18069cbc79d7727,human,cs,112961,1288,1.14
aspire,https://github.com/dotnet/aspire,7776,9a1c41bc1caa450ce48843086704778f001dde55,human,cs,113546,1288,1.13
aspire,https://github.com/dotnet/aspire,7782,0070c2c1662585b870536b10e01225ff5aed1a95,human,cs,112587,1288,1.14
aspire,https://github.com/dotnet/aspire,7798,93e37156a56bc650de726b4cf5c05360a19eccfe,human,cs,113560,1288,1.13
aspire,https://github.com/dotnet/aspire,7801,7ec607f2799a7749e3b588d494e0bdb7e4554ee3,human,cs,112350,1288,1.15
aspire,https://github.com/dotnet/aspire,7838,c16a759f40b1cf952cb00b76b0597a37936d97f6,human,cs,113164,1288,1.14
aspire,https://github.com/dotnet/aspire,7861,cb0ea329a3d1bf6ae5d3118f78ceced922cebcf7,human,cs,113276,1288,1.14
aspire,https://github.com/dotnet/aspire,7933,ee6a3c0f42a6c4221ff7221e554965792292ad0f,human,cs,114358,1324,1.16
aspire,https://github.com/dotnet/aspire,7938,e124d45c9422a0f53d28787d5f93c91bc0b01f9b,human,cs,114481,1324,1.16
aspire,https://github.com/dotnet/aspire,7959,1392f90bf5322ce62119b3059286bec826486ff2,human,cs,114895,1324,1.15
aspire,https://github.com/dotnet/aspire,7961,a38d9ef8d24a60634d5bbbd59705e403aefa820a,human,cs,114916,1324,1.15
aspire,https://github.com/dotnet/aspire,7962,46aa81ca03636b8b91fb0f8c70d2fc1a314ce514,human,cs,114431,1324,1.16
aspire,https://github.com/dotnet/aspire,7994,0aee4149ed0818993086029c2a0418840a826c9d,human,cs,135446,1397,1.03
aspire,https://github.com/dotnet/aspire,8035,1758c3227f1baa8a8b9df3dc29e12d90616ab43b,human,cs,118610,1324,1.12
aspire,https://github.com/dotnet/aspire,8156,363eab203bbc1610cbb3be66b9800af68e5a57c1,human,cs,128773,1324,1.03
aspire,https://github.com/dotnet/aspire,8163,53f9f3ced2273492eed888b311689a8d116cc555,human,cs,129245,1324,1.02
aspire,https://github.com/dotnet/aspire,8166,584b29d4e5921a05190d73cce311d518bfbdbf56,human,cs,129279,1324,1.02
aspire,https://github.com/dotnet/aspire,8176,8d879dd5c1a1480cb8fe86051824aaf9069b654c,human,cs,129371,1324,1.02
aspire,https://github.com/dotnet/aspire,8231,c53cfd55a9d91f8f0ce55b949ffb2405da3dae5a,human,cs,130132,1324,1.02
aspire,https://github.com/dotnet/aspire,8318,f49f9fe648afb0bf2539110f75d588ade723aa2e,human,cs,133520,1311,0.98
aspire,https://github.com/dotnet/aspire,8323,ab17b7fc46aace74cc5a0752dfe09e69be29a57d,human,cs,134502,1311,0.97
aspire,https://github.com/dotnet/aspire,8560,d93b68636cc38ca72a3e308a1274e09c62d51671,human,cs,137179,1347,0.98
aspire,https://github.com/dotnet/aspire,8577,f8430c45498c333b98023eb74e8431f3b6c1abb8,human,cs,137369,1347,0.98
aspire,https://github.com/dotnet/aspire,8603,47a1547459bcb7dcd0aeca660990bb5edd6dc769,human,cs,137384,1347,0.98
aspire,https://github.com/dotnet/aspire,8647,c4186edda5c680c37c02897b7416017d17ee41c1,human,cs,137647,1347,0.98
aspire,https://github.com/dotnet/aspire,8705,28784e59be96cbc084e44609507b9b2524b385ee,human,cs,141485,1347,0.95
aspire,https://github.com/dotnet/aspire,8825,912fcf7883e41fe84e9e25e6f0d5564323d5ab9b,human,cs,141520,1347,0.95
aspire,https://github.com/dotnet/aspire,8850,c57b0e9294f826b8cf9facaa67fc2985df6b8b28,human,cs,142088,1347,0.95
aspire,https://github.com/dotnet/aspire,8873,6830eea415adddd802f3d4feac199fd0edf7f08b,human,cs,142130,1347,0.95
aspire,https://github.com/dotnet/aspire,8892,a6993d8188e5d729956000e91b301a406f48adf0,human,cs,142721,1399,0.98
aspire,https://github.com/dotnet/aspire,8927,c9212678d4524d734b26bbbae1c34d12f1636bd0,human,cs,144481,1489,1.03
aspire,https://github.com/dotnet/aspire,8972,d57970b465f75fbe805bf101125ee9e4ef69882c,human,cs,144715,1489,1.03
aspire,https://github.com/dotnet/aspire,8985,c1ef29d5015048c5ecaaa19653354f143c031e77,human,cs,144715,1489,1.03
aspire,https://github.com/dotnet/aspire,8995,32aab9b244bb7f778a816f56f7057b524089d0f9,human,cs,144756,1489,1.03
aspire,https://github.com/dotnet/aspire,9054,db1940330b3b3902e018951009fa86db2938edba,human,cs,144508,1489,1.03
aspire,https://github.com/dotnet/aspire,9066,18f979212abab29d81b8c767cdafa035323ac10e,human,cs,143742,1433,1.0
aspire,https://github.com/dotnet/aspire,9108,826d52ee7b13acf72c65301e30c86b052fee8e9a,human,cs,144865,1433,0.99
aspire,https://github.com/dotnet/aspire,9133,eeb77bea60c8b9228532c8f1557b77132ecb73a9,human,cs,144918,1433,0.99
aspire,https://github.com/dotnet/aspire,9159,30641bd683f96b418cc2a70985e44607cfba7435,human,cs,147235,1449,0.98
aspire,https://github.com/dotnet/aspire,9186,b0719217beda848c005d2c1f0aa8835c098537a5,human,cs,145473,1433,0.99
aspire,https://github.com/dotnet/aspire,9191,b6bf29f8fe3312234ef075adba0407135ef0c6e1,human,cs,145716,1433,0.98
aspire,https://github.com/dotnet/aspire,9215,003b4abc057b67650a1979c42552c5b9f0cd84d7,human,cs,145730,1433,0.98
aspire,https://github.com/dotnet/aspire,9264,9fac7708bc7e502cc67e96a7da95ae90b5e57812,human,cs,146610,1449,0.99
aspire,https://github.com/dotnet/aspire,9303,23c1460b7d912aff89f5ad5872a05190044dadeb,human,cs,147367,1449,0.98
aspire,https://github.com/dotnet/aspire,9348,87851133891e34008d85cacd4d02350fea584c02,human,cs,147315,1449,0.98
aspire,https://github.com/dotnet/aspire,9369,4630a04438e6c5f4e5855813541d9a4a9850b120,human,cs,147953,1449,0.98
aspire,https://github.com/dotnet/aspire,9400,850fe3d914997d743a81263460ae2b8b3b40e36f,agent,cs,148426,1449,0.98
aspire,https://github.com/dotnet/aspire,9433,e7c43f4d86127c197ae0af59aff4b3b826a4fffa,agent,cs,148518,1449,0.98
aspire,https://github.com/dotnet/aspire,9437,e263d1f926ba265ecbb1dd428f35590e248da255,agent,cs,148518,1449,0.98
aspire,https://github.com/dotnet/aspire,9439,430266ae58398c2aad245b61ac62d0c713a2528f,agent,cs,148518,1449,0.98
aspire,https://github.com/dotnet/aspire,9447,05d655b4db6149885d2a23a4ce982598d625bff8,agent,cs,148510,1449,0.98
aspire,https://github.com/dotnet/aspire,9456,37c5d3d62ec2edd8328c7766a9b9dfe4d1f0d7ae,agent,cs,148518,1449,0.98
aspire,https://github.com/dotnet/aspire,9458,be2048aab7fccc56cac8e48e1c99ac8a04b22f44,agent,cs,148566,1449,0.98
aspire,https://github.com/dotnet/aspire,9491,910e87eb26b949e7734ceac23849cb9010e92531,agent,cs,148542,1449,0.98
aspire,https://github.com/dotnet/aspire,9494,346a72163242afbc1437ab0b6879b13ac6870bf6,agent,cs,148850,1451,0.97
aspire,https://github.com/dotnet/aspire,9498,f8720b27d41ae00bbc892f6edb24aafe5b8640d8,agent,cs,148623,1451,0.98
aspire,https://github.com/dotnet/aspire,9501,bc9983daf61a051852de5d3b96d2e883d835c38b,agent,cs,148626,1451,0.98
aspire,https://github.com/dotnet/aspire,9503,4c2123f9df11274bf90fab9f42a79003a13fe12a,agent,cs,148565,1451,0.98
aspire,https://github.com/dotnet/aspire,9505,a0955605e26e48774949a6aa9c628b5bdf7c1bfd,agent,cs,148565,1451,0.98
aspire,https://github.com/dotnet/aspire,9509,b7381033485768d5ae9cd4898e118c672ca29c19,agent,cs,148575,1451,0.98
aspire,https://github.com/dotnet/aspire,9511,1011118133c73c36bb83efbe3864fcc2c2e23c9e,agent,cs,148576,1451,0.98
aspire,https://github.com/dotnet/aspire,9525,d165903c69dce5c8918b11a3c210876d281bee32,human,cs,148633,1451,0.98
aspire,https://github.com/dotnet/aspire,9527,b347c3f65f21d0ea8d9866151e83054516c92af6,agent,cs,148523,1451,0.98
aspire,https://github.com/dotnet/aspire,9538,39a5805ea58e1f41662f4c195720ea3d10ece8d2,agent,cs,148714,1451,0.98
aspire,https://github.com/dotnet/aspire,9552,2ae0a5dedbd24e773d9cd92c1134cf6f2066c1c0,agent,cs,148717,1451,0.98
aspire,https://github.com/dotnet/aspire,9573,d1d428f00bccbac3ce4a22978ece67d4f6738f28,agent,cs,148565,1451,0.98
aspire,https://github.com/dotnet/aspire,9574,4e4b7ab9442d27229cfbbbd35c4b64bfcafbd74e,agent,cs,148850,1451,0.97
aspire,https://github.com/dotnet/aspire,9597,776ef4e6b152df760b4aea5ddb4ad0f181948cbe,agent,cs,148836,1435,0.96
aspire,https://github.com/dotnet/aspire,9600,90bbcb52c1f636f21b184f40aa43e7d30b2610dd,agent,cs,148608,1451,0.98
aspire,https://github.com/dotnet/aspire,9604,4c88164eb8299f5f9eb60cb6ee072b60445c4213,agent,cs,148584,1451,0.98
aspire,https://github.com/dotnet/aspire,9615,7e6c3f03775717a49d879c63659a8bf6a4d8dc0e,agent,cs,148822,1451,0.97
aspire,https://github.com/dotnet/aspire,9619,a6112f605cc66ca83c42df81c5d102112cf134d8,agent,cs,148586,1451,0.98
aspire,https://github.com/dotnet/aspire,9620,93af07d289620d85176403c82817b78ff7e16189,agent,cs,148546,1435,0.97
aspire,https://github.com/dotnet/aspire,9655,9c8bc8c46c1aa324cd717788cc958e2c86cc2c15,agent,cs,148971,1435,0.96
aspire,https://github.com/dotnet/aspire,9657,bb2b9f17eb05098115add0cfecf85915bb0e5b6e,agent,cs,149584,1435,0.96
aspire,https://github.com/dotnet/aspire,9676,c517e8d891689f62c9a286e43621d030aa2ff7b5,agent,cs,150005,1435,0.96
aspire,https://github.com/dotnet/aspire,9700,43c710acead1fadafcef3275b027ca934c44bab3,agent,cs,149608,1435,0.96
aspire,https://github.com/dotnet/aspire,9721,6c448f660cbae7e034e02def71e63b45a936b462,agent,cs,149592,1435,0.96
aspire,https://github.com/dotnet/aspire,9730,75dd13ae24e036aaca8bddf56e9865253adb2cdc,agent,cs,149607,1435,0.96
aspire,https://github.com/dotnet/aspire,9737,89f841ef7dea43517ddd4551ce46f2c65308cadc,agent,cs,149987,1435,0.96
aspire,https://github.com/dotnet/aspire,9748,1731e1a27d3eeda32b151b3a4503698979e4546d,agent,cs,149800,1435,0.96
aspire,https://github.com/dotnet/aspire,9752,61e0382b61c18ae2bf41f603779ff24663b9ecb6,agent,cs,149807,1435,0.96
